"stage","design","lut_mean","lut_min","lut_max","ff_mean","ff_min","ff_max","wns_mean_ns","wns_min_ns","wns_max_ns","fmax_mean_mhz","fmax_min_mhz","fmax_max_mhz"
"6","baseline","7614.33","7614","7615","8438.67","8438","8440","-3.673","-3.786","-3.607","115.315","113.817","116.185"
"6","sgf","7642.67","7637","7646","8613.00","8613","8613","-3.992","-4.059","-3.950","111.217","110.387","111.732"
"7","baseline","7755.00","7754","7756","8551.33","8535","8584","-3.714","-3.768","-3.611","114.770","114.051","116.131"
"7","sgf","7814.67","7811","7817","8557.00","8557","8557","-3.874","-3.885","-3.869","112.685","112.549","112.752"
"8","baseline","7815.33","7808","7819","8726.00","8716","8731","-3.526","-3.620","-3.415","117.295","116.009","118.835"
"8","sgf","7866.33","7862","7871","8746.67","8744","8748","-3.802","-3.866","-3.739","113.614","112.790","114.430"
