"stage","run_label","baseline_luts","sgf_luts","lut_delta","lut_delta_pct","baseline_ffs","sgf_ffs","ff_delta","ff_delta_pct","dsp_delta","bram_delta","baseline_fmax_mhz","sgf_fmax_mhz","fmax_delta_mhz","fmax_delta_pct"
"6","default","7614","7646","32","0.420","8438","8613","175","2.074","0","0","115.942","111.532","-4.410","-3.803"
"6","explore","7615","7645","30","0.394","8438","8613","175","2.074","0","0","116.185","111.732","-4.453","-3.832"
"6","wlblock","7614","7637","23","0.302","8440","8613","173","2.050","0","0","113.817","110.387","-3.430","-3.014"
"7","default","7755","7817","62","0.799","8535","8557","22","0.258","0","0","114.129","112.752","-1.377","-1.206"
"7","explore","7754","7816","62","0.800","8535","8557","22","0.258","0","0","114.051","112.752","-1.299","-1.139"
"7","wlblock","7756","7811","55","0.709","8584","8557","-27","-0.315","0","0","116.131","112.549","-3.581","-3.084"
"8","default","7819","7871","52","0.665","8731","8748","17","0.195","0","0","116.009","113.623","-2.386","-2.057"
"8","explore","7819","7866","47","0.601","8731","8748","17","0.195","0","0","118.835","114.430","-4.406","-3.708"
"8","wlblock","7808","7862","54","0.692","8716","8744","28","0.321","0","0","117.041","112.790","-4.251","-3.632"
