benchmark,stage,sgf_counter,shadow_counter,depth,ghr_diff,btb_hit,issued,issued_agree,issued_differ,agree,differ,sgf_only_correct,committed_only_correct,both_correct,both_wrong
aha-mont64,8,00,01,1,1,1,974,974,0,974,0,0,0,974,0
aha-mont64,8,00,01,2,1,0,1,1,0,0,0,0,0,0,0
aha-mont64,8,00,10,0,1,1,3,0,3,0,3,2,1,0,0
aha-mont64,8,00,10,1,1,0,1,1,0,1,0,0,0,1,0
aha-mont64,8,00,10,1,1,1,8063,0,8063,0,8063,7117,946,0,0
aha-mont64,8,00,10,2,1,0,1,1,0,0,0,0,0,0,0
aha-mont64,8,00,11,0,1,1,3308,0,3308,0,3308,1887,1421,0,0
aha-mont64,8,00,11,1,1,0,473,473,0,0,0,0,0,0,0
aha-mont64,8,00,11,1,1,1,17466,0,17466,0,17466,17466,0,0,0
aha-mont64,8,01,00,0,1,0,474,474,0,474,0,0,0,473,1
aha-mont64,8,01,00,0,1,1,4734,4734,0,4734,0,0,0,2368,2366
aha-mont64,8,01,00,1,1,0,1,1,0,1,0,0,0,1,0
aha-mont64,8,01,00,1,1,1,474,474,0,474,0,0,0,474,0
aha-mont64,8,01,01,0,0,0,495,495,0,495,0,0,0,491,4
aha-mont64,8,01,01,0,0,1,50126,50126,0,50126,0,0,0,25536,24590
aha-mont64,8,01,01,0,1,1,19,19,0,19,0,0,0,8,11
aha-mont64,8,01,01,1,0,0,476,476,0,473,0,0,0,473,0
aha-mont64,8,01,01,1,0,1,1,1,0,1,0,0,0,0,1
aha-mont64,8,01,01,1,1,0,3,3,0,3,0,0,0,3,0
aha-mont64,8,01,01,1,1,1,3,3,0,1,0,0,0,0,1
aha-mont64,8,01,01,2,0,0,3,3,0,0,0,0,0,0,0
aha-mont64,8,01,01,2,1,0,5,5,0,0,0,0,0,0,0
aha-mont64,8,01,10,0,1,1,2,0,2,0,2,1,1,0,0
aha-mont64,8,01,10,1,1,0,2,2,0,2,0,0,0,2,0
aha-mont64,8,01,10,1,1,1,2,0,2,0,2,1,1,0,0
aha-mont64,8,01,10,2,1,0,1,1,0,0,0,0,0,0,0
aha-mont64,8,01,11,0,1,1,3785,0,3785,0,3785,1422,2363,0,0
aha-mont64,8,01,11,1,1,0,472,472,0,0,0,0,0,0,0
aha-mont64,8,01,11,1,1,1,1417,0,1417,0,1417,1416,1,0,0
aha-mont64,8,10,00,0,1,0,3,3,0,3,0,0,0,2,1
aha-mont64,8,10,00,0,1,1,4260,0,4260,0,4260,1892,2368,0,0
aha-mont64,8,10,00,1,1,0,947,947,0,1,0,0,0,0,1
aha-mont64,8,10,00,1,1,1,471,0,471,0,471,0,471,0,0
aha-mont64,8,10,01,0,1,1,12,0,12,0,12,7,5,0,0
